,Date,Total Fuel Used (kWh per capita),Coal (kWh per capita),Oil (kWh per capita),Gas (kWh per capita),Nuclear (kWh per capita),Hydro (kWh per capita),Wind (kWh per capita),Bioenergy (kWh per capita),Solar (kWh per capita),Low Carbon (kWh per capita),Renewables (kWh per capita),Fossil Fuels (kWh per capita),UK Population,Rainfall (mm),Sunshine (hours),Temperature (C),Wind (knots)
0,1995-01-01,1261.6329569425486,699.9059023038425,71.75287118611352,175.0265403758393,302.79190966621167,10.07303773558892,0.0,0.0,0.0,312.86494740180063,10.07303773558892,946.6853138657951,58024800.0,181.0,43.9,3.5,8.759019450808346
1,1995-02-01,1252.7899615885226,688.1635125427125,68.67619575273507,165.98415824786403,318.15298848716037,9.730796249512897,0.0,0.0,0.0,327.88378473667325,9.730796249512897,922.8238665433116,58035538.461538464,143.0,66.7,5.0,8.759019450808346
2,1995-03-01,1490.0171099536024,828.5880448875399,76.23250241439362,189.58030406100517,382.7640352319344,10.169672065785704,0.0,0.0,0.0,392.9337072977201,10.169672065785704,1094.4008513629387,58044742.85714286,94.1,132.6,4.2,8.759019450808346
3,1995-04-01,1064.866555778954,512.4169892470155,35.989286979145845,151.32314213700926,355.489286290117,7.766319993275078,0.0,0.0,0.0,363.25560628339207,7.766319993275078,699.7294183631706,58052720.0,40.7,156.5,7.6,8.759019450808346
4,1995-05-01,1015.1041083574321,490.74039307815923,40.02776452513533,168.31674982819408,310.41531389242454,3.7626098653627214,0.0,0.0,0.0,314.17792375778725,3.7626098653627214,699.0849074314887,58059700.0,59.7,191.4,10.2,8.759019450808346
5,1995-06-01,1177.0916918274138,543.7195047084466,41.48437737433235,188.31065658102625,397.4335430073519,3.6221284634607605,0.0,0.0,0.0,401.0556714708127,3.6221284634607605,773.5145386638052,58065858.823529415,29.7,206.0,12.9,8.759019450808346
6,1995-07-01,960.473899916195,415.80515917205275,33.636596369981746,169.68372231852777,337.3664573455635,1.8609181810876276,0.0,0.0,0.0,339.2273755266511,1.8609181810876276,619.1254778605622,58071333.333333336,57.9,207.4,16.6,8.759019450808346
7,1995-08-01,968.3961660554314,443.7815488245758,33.793824885694704,167.068346829811,320.1309639852666,1.4806057084318578,0.0,0.0,0.0,321.6115696936984,1.4806057084318578,644.6437205400815,58076231.578947365,18.4,251.2,17.3,8.759019450808346
8,1995-09-01,1207.402328899957,557.7858646185716,47.15571316018556,198.26606593866734,400.73353186190786,1.0803599960331016,0.0,0.0,0.0,401.813891857941,1.0803599960331016,803.2076437174247,58080640.0,135.5,120.3,12.4,8.759019450808346
9,1995-10-01,1068.0825809828223,486.3286672352951,46.272242176686035,191.6507047352582,335.88886560594835,5.881556074338822,0.0,0.0,0.0,341.77042168028714,5.881556074338822,724.2516141472393,58084628.571428575,117.3,104.4,11.6,8.759019450808346
